ts,phase,cpu_percent,rss_mb,goroutines
1777543354,idle-no-pub,0.0,14.4,10
1777543355,idle-no-pub,0.0,15.3,10
1777543356,idle-no-pub,0.0,15.5,10
1777543357,idle-no-pub,0.0,15.6,10
1777543358,idle-no-pub,0.0,15.8,10
1777543359,publish-no-subs,1.2,18.6,12
1777543360,publish-no-subs,0.7,21.0,12
1777543361,publish-no-subs,0.8,23.5,11
1777543362,publish-no-subs,0.8,25.9,11
1777543363,publish-no-subs,0.7,28.3,11
1777543364,subs=1,0.7,30.9,14
1777543365,subs=1,1.5,33.5,13
1777543366,subs=1,1.6,35.9,13
1777543367,subs=1,2.0,38.2,14
1777543368,subs=1,1.0,40.8,13
1777543369,subs=1,1.4,43.1,13
1777543370,subs=1,1.7,45.5,13
1777543371,subs=1,1.7,47.9,13
1777543372,subs=1,1.9,50.3,13
1777543373,subs=1,1.3,52.6,13
1777543374,subs=1,0.4,55.0,11
1777543375,subs=1,0.5,57.4,11
1777543376,subs=4,1.9,59.8,20
1777543378,subs=4,2.9,62.8,19
1777543379,subs=4,2.2,65.4,19
1777543380,subs=4,2.5,67.9,19
1777543381,subs=4,2.4,70.3,18
1777543382,subs=4,2.7,72.7,19
1777543383,subs=4,3.3,75.4,20
1777543384,subs=4,1.8,77.8,19
1777543385,subs=4,2.6,80.2,19
1777543386,subs=4,1.5,82.8,19
1777543387,subs=4,0.7,85.2,11
1777543388,subs=4,0.5,87.6,12
1777543389,subs=16,3.4,91.0,43
1777543390,subs=16,3.8,93.7,43
1777543391,subs=16,5.3,96.7,43
1777543392,subs=16,6.1,99.4,43
1777543393,subs=16,6.4,101.9,43
1777543394,subs=16,6.7,104.9,43
1777543395,subs=16,4.6,107.5,43
1777543396,subs=16,4.7,110.1,43
1777543397,subs=16,6.4,112.9,43
1777543398,subs=16,3.1,115.5,11
1777543399,subs=16,0.5,118.2,11
1777543400,subs=64,1.6,119.9,139
1777543401,subs=64,21.0,120.9,139
1777543402,subs=64,23.1,121.9,140
1777543403,subs=64,22.2,122.9,139
1777543405,subs=64,25.7,124.0,139
1777543406,subs=64,19.3,125.0,139
1777543407,subs=64,19.8,126.1,139
1777543408,subs=64,23.8,127.0,139
1777543409,subs=64,23.3,128.0,139
1777543410,subs=64,17.9,129.0,139
1777543411,subs=64,2.5,130.1,11
1777543412,subs=64,0.7,131.1,11
1777543413,subs=256,33.4,132.3,523
1777543414,subs=256,62.7,133.6,523
1777543415,subs=256,54.8,135.4,523
1777543416,subs=256,63.5,141.0,523
1777543417,subs=256,91.5,146.7,523
1777543418,subs=256,68.4,152.5,523
1777543419,subs=256,70.1,158.0,523
1777543420,subs=256,84.9,159.3,523
1777543421,subs=256,82.8,160.3,523
1777543422,subs=256,64.9,161.3,523
1777543423,subs=256,1.4,162.3,11
1777543424,subs=1024,0.6,163.3,572
1777543426,subs=1024,310.8,168.3,2059
1777543427,subs=1024,287.6,191.2,2059
1777543429,subs=1024,216.1,191.3,2059
1777543430,subs=1024,182.9,197.2,2059
1777543431,subs=1024,230.0,214.7,2059
1777543433,subs=1024,205.1,227.6,2051
1777543434,subs=1024,174.1,241.7,2045
1777543435,subs=1024,47.4,245.1,63
1777543436,subs=1024,1.7,245.1,11
1777543437,subs=1024,0.4,245.1,11
1777543438,subs=1024,0.4,245.1,11
1777543439,subs=1024,0.5,245.1,12
1777543440,subs=1024,0.5,245.1,11
1777543441,subs=1024,0.7,245.1,11
1777543442,subs=1024,0.9,245.1,11
1777543443,subs=4096,42.2,245.1,593
1777543444,subs=4096,79.7,245.3,593
1777543445,subs=4096,81.8,245.3,593
1777543446,subs=4096,92.0,245.3,593
1777543447,subs=4096,86.7,245.5,1635
1777543448,subs=4096,74.5,245.7,1635
1777543449,subs=4096,184.8,245.9,1635
1777543450,subs=4096,168.6,255.8,2736
1777543452,subs=4096,193.6,279.7,2735
1777543453,subs=4096,214.9,279.7,1696
1777543454,subs=4096,12.8,279.7,1111
1777543455,subs=4096,15.1,279.8,1111
1777543456,subs=4096,2.3,280.2,11
1777543457,subs=4096,0.4,279.6,11
1777543458,subs=4096,0.2,279.7,12
1777543459,subs=4096,1.1,279.8,11
1777543460,subs=4096,0.4,256.8,11
1777543461,subs=4096,0.5,251.8,11
1777543462,subs=4096,18.4,252.0,12
1777543463,subs=4096,0.4,249.5,12
1777543464,subs=4096,0.3,249.7,11
1777543465,subs=4096,0.3,250.7,11
1777543466,subs=4096,0.7,251.8,11
1777543467,subs=4096,0.9,252.8,11
1777543468,subs=4096,0.7,253.8,11
1777543469,subs=4096,0.9,254.8,11
1777543470,subs=4096,1.6,255.8,12
1777543471,subs=4096,0.4,256.8,11
1777543472,subs=4096,0.2,257.8,11
1777543473,subs=4096,0.2,258.8,11
1777543474,subs=4096,0.3,259.7,11
1777543475,cooldown,0.6,260.6,11
1777543476,cooldown,0.9,261.6,11
1777543477,cooldown,0.7,262.6,11
1777543479,cooldown,0.0,262.8,10
